Year,BER Rating,Period of Construction,Dwelling_Category,County,VALUE
2020,A1,2000-2004,House,Donegal,2.0
2020,A1,2000-2004,House,Galway,2.0
2020,A1,2000-2004,House,Mayo,1.0
2020,A1,2005-2009,Apartment,Kerry,1.0
2020,A1,2005-2009,House,Donegal,1.0
2020,A1,2005-2009,House,Roscommon,1.0
2020,A1,2005-2009,House,Sligo,2.0
2020,A1,2010-2014,House,Cork,1.0
2020,A1,2010-2014,House,Wexford,1.0
2020,A1,2015-2019,House,Cavan,1.0
2020,A1,2015-2019,House,Clare,1.0
2020,A1,2015-2019,House,Cork,1.0
2020,A1,2015-2019,House,Donegal,1.0
2020,A1,2015-2019,House,Dublin,10.0
2020,A1,2015-2019,House,Galway,3.0
2020,A1,2015-2019,House,Kildare,18.0
2020,A1,2015-2019,House,Kilkenny,1.0
2020,A1,2015-2019,House,Limerick,16.0
2020,A1,2015-2019,House,Louth,1.0
2020,A1,2015-2019,House,Mayo,1.0
2020,A1,2015-2019,House,Meath,4.0
2020,A1,2015-2019,House,Monaghan,1.0
2020,A1,2015-2019,House,Sligo,2.0
2020,A1,2015-2019,House,Westmeath,4.0
2020,A1,2015-2019,House,Wexford,4.0
2020,A1,2020-2024,House,Carlow,1.0
2020,A1,2020-2024,House,Clare,1.0
2020,A1,2020-2024,House,Cork,3.0
2020,A1,2020-2024,House,Donegal,1.0
2020,A1,2020-2024,House,Dublin,2.0
2020,A1,2020-2024,House,Galway,2.0
2020,A1,2020-2024,House,Kerry,4.0
2020,A1,2020-2024,House,Louth,3.0
2020,A1,2020-2024,House,Mayo,2.0
2020,A1,2020-2024,House,Meath,2.0
2020,A1,2020-2024,House,Offaly,1.0
2020,A2,2000-2004,House,Carlow,2.0
2020,A2,2000-2004,House,Clare,1.0
2020,A2,2000-2004,House,Cork,1.0
2020,A2,2000-2004,House,Donegal,1.0
2020,A2,2000-2004,House,Dublin,1.0
2020,A2,2000-2004,House,Galway,1.0
2020,A2,2000-2004,House,Kildare,1.0
2020,A2,2000-2004,House,Laois,1.0
2020,A2,2000-2004,House,Mayo,1.0
2020,A2,2000-2004,House,Roscommon,1.0
2020,A2,2000-2004,House,Sligo,1.0
2020,A2,2000-2004,House,Tipperary,2.0
2020,A2,2000-2004,House,Westmeath,5.0
2020,A2,2005-2009,Apartment,Meath,1.0
2020,A2,2005-2009,Apartment,Wexford,3.0
2020,A2,2005-2009,House,Cavan,1.0
2020,A2,2005-2009,House,Clare,1.0
2020,A2,2005-2009,House,Cork,9.0
2020,A2,2005-2009,House,Donegal,5.0
2020,A2,2005-2009,House,Dublin,1.0
2020,A2,2005-2009,House,Galway,1.0
2020,A2,2005-2009,House,Kildare,1.0
2020,A2,2005-2009,House,Leitrim,1.0
2020,A2,2005-2009,House,Mayo,1.0
2020,A2,2005-2009,House,Meath,2.0
2020,A2,2005-2009,House,Roscommon,1.0
2020,A2,2005-2009,House,Sligo,1.0
2020,A2,2005-2009,House,Tipperary,1.0
2020,A2,2005-2009,House,Waterford,1.0
2020,A2,2005-2009,House,Westmeath,1.0
2020,A2,2005-2009,House,Wexford,1.0
2020,A2,2010-2014,House,Clare,1.0
2020,A2,2010-2014,House,Cork,5.0
2020,A2,2010-2014,House,Donegal,1.0
2020,A2,2010-2014,House,Galway,1.0
2020,A2,2010-2014,House,Kerry,1.0
2020,A2,2010-2014,House,Kildare,1.0
2020,A2,2010-2014,House,Kilkenny,1.0
2020,A2,2010-2014,House,Limerick,1.0
2020,A2,2010-2014,House,Meath,1.0
2020,A2,2010-2014,House,Tipperary,1.0
2020,A2,2010-2014,House,Waterford,1.0
2020,A2,2010-2014,House,Wexford,2.0
2020,A2,2015-2019,Apartment,Cork,16.0
2020,A2,2015-2019,Apartment,Donegal,27.0
2020,A2,2015-2019,Apartment,Dublin,65.0
2020,A2,2015-2019,Apartment,Galway,1.0
2020,A2,2015-2019,Apartment,Kildare,3.0
2020,A2,2015-2019,Apartment,Kilkenny,6.0
2020,A2,2015-2019,Apartment,Sligo,2.0
2020,A2,2015-2019,Apartment,Wexford,1.0
2020,A2,2015-2019,Apartment,Wicklow,2.0
2020,A2,2015-2019,House,Carlow,28.0
2020,A2,2015-2019,House,Cavan,18.0
2020,A2,2015-2019,House,Clare,26.0
2020,A2,2015-2019,House,Cork,336.0
2020,A2,2015-2019,House,Donegal,15.0
2020,A2,2015-2019,House,Dublin,308.0
2020,A2,2015-2019,House,Galway,227.0
2020,A2,2015-2019,House,Kerry,25.0
2020,A2,2015-2019,House,Kildare,348.0
2020,A2,2015-2019,House,Kilkenny,74.0
2020,A2,2015-2019,House,Laois,48.0
2020,A2,2015-2019,House,Leitrim,3.0
2020,A2,2015-2019,House,Limerick,59.0
2020,A2,2015-2019,House,Longford,2.0
2020,A2,2015-2019,House,Louth,72.0
2020,A2,2015-2019,House,Mayo,83.0
2020,A2,2015-2019,House,Meath,255.0
2020,A2,2015-2019,House,Monaghan,36.0
2020,A2,2015-2019,House,Offaly,19.0
2020,A2,2015-2019,House,Roscommon,12.0
2020,A2,2015-2019,House,Sligo,13.0
2020,A2,2015-2019,House,Tipperary,59.0
2020,A2,2015-2019,House,Waterford,76.0
2020,A2,2015-2019,House,Westmeath,9.0
2020,A2,2015-2019,House,Wexford,97.0
2020,A2,2015-2019,House,Wicklow,151.0
2020,A2,2020-2024,Apartment,Cork,79.0
2020,A2,2020-2024,Apartment,Donegal,2.0
2020,A2,2020-2024,Apartment,Dublin,68.0
2020,A2,2020-2024,Apartment,Galway,31.0
2020,A2,2020-2024,Apartment,Kerry,18.0
2020,A2,2020-2024,Apartment,Kildare,12.0
2020,A2,2020-2024,Apartment,Kilkenny,14.0
2020,A2,2020-2024,Apartment,Louth,4.0
2020,A2,2020-2024,Apartment,Meath,16.0
2020,A2,2020-2024,Apartment,Waterford,3.0
2020,A2,2020-2024,Apartment,Westmeath,10.0
2020,A2,2020-2024,Apartment,Wicklow,16.0
2020,A2,2020-2024,House,Carlow,21.0
2020,A2,2020-2024,House,Cavan,29.0
2020,A2,2020-2024,House,Clare,50.0
2020,A2,2020-2024,House,Cork,428.0
2020,A2,2020-2024,House,Donegal,47.0
2020,A2,2020-2024,House,Dublin,408.0
2020,A2,2020-2024,House,Galway,92.0
2020,A2,2020-2024,House,Kerry,167.0
2020,A2,2020-2024,House,Kildare,438.0
2020,A2,2020-2024,House,Kilkenny,53.0
2020,A2,2020-2024,House,Laois,16.0
2020,A2,2020-2024,House,Limerick,108.0
